Feature;Direction
ENSG00000115839_at;1
ENSG00000169813_at;1
ENSG00000236032_at;1
ENSG00000274338_at;1
ENSG00000135596_at;1
ENSG00000151136_at;1
ENSG00000170396_at;1
ENSG00000172154_at;1
ENSG00000133731_at;1
ENSG00000133962_at;1
ENSG00000127364_at;1
ENSG00000069329_at;1
ENSG00000107736_at;1
ENSG00000072609_at;1
ENSG00000166847_at;1
ENSG00000181585_at;1
ENSG00000008513_at;1
ENSG00000078596_at;1
ENSG00000156873_at;1
ENSG00000105825_at;1
ENSG00000181090_at;1
ENSG00000131269_at;1
ENSG00000143811_at;1
ENSG00000114771_at;1
ENSG00000072736_at;1
ENSG00000158467_at;1
ENSG00000007908_at;1
ENSG00000069345_at;1
ENSG00000049249_at;1
ENSG00000173559_at;1
ENSG00000214253_at;1
ENSG00000197535_at;1
ENSG00000134987_at;1
ENSG00000163634_at;1
ENSG00000062582_at;1
ENSG00000008438_at;1
ENSG00000111049_at;1
ENSG00000198216_at;1
ENSG00000148219_at;1
ENSG00000163012_at;1
ENSG00000037965_at;1
ENSG00000163161_at;1
ENSG00000183814_at;1
ENSG00000089289_at;1
ENSG00000106436_at;1
ENSG00000165732_at;1
ENSG00000173821_at;1
ENSG00000108826_at;1
ENSG00000171587_at;1
ENSG00000187323_at;1
ENSG00000095485_at;1
ENSG00000107018_at;1
ENSG00000164022_at;1
ENSG00000243147_at;1
ENSG00000131828_at;1
ENSG00000143179_at;1
ENSG00000198945_at;1
ENSG00000136161_at;1
ENSG00000197641_at;1
ENSG00000138642_at;1
ENSG00000183813_at;1
ENSG00000108771_at;1
ENSG00000107201_at;1
ENSG00000145309_at;1
ENSG00000197142_at;1
ENSG00000166233_at;1
ENSG00000204010_at;1
ENSG00000132972_at;1
ENSG00000137965_at;1
ENSG00000167461_at;1
ENSG00000171956_at;1
ENSG00000143436_at;1
ENSG00000082196_at;1
ENSG00000176925_at;1
ENSG00000183607_at;1
ENSG00000155011_at;1
ENSG00000101639_at;1
ENSG00000087269_at;1
ENSG00000171681_at;1
ENSG00000100122_at;1
ENSG00000171314_at;1
ENSG00000107758_at;1
ENSG00000184394_at;1
ENSG00000151062_at;1
ENSG00000109670_at;1
ENSG00000180776_at;1
ENSG00000107099_at;1
ENSG00000129083_at;1
ENSG00000024048_at;1
ENSG00000151882_at;1
ENSG00000197888_at;1
ENSG00000137692_at;1
ENSG00000105793_at;1
ENSG00000169777_at;1
ENSG00000142875_at;1
ENSG00000101361_at;1
